Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
38.3,149.3,9.6,8.6,4.7,153.5,0,Assam,-1
53.8,133.6,7.6,9.8,4.0,139.2,0,Bhuttan,+1
59.4,132.0,12.3,8.3,5.2,134.5,0,Assam,-1
39.6,151.7,13.1,7.6,5.2,154.2,0,Assam,-1
28.3,133.8,5.8,12.6,4.6,139.3,1,Bhuttan,+1
52.9,160.5,14.6,6.7,4.6,163.0,0,Assam,-1
31.4,138.9,12.6,10.4,4.2,141.4,0,Assam,-1
39.1,130.2,11.2,5.5,5.0,132.7,1,Assam,-1
47.7,171.6,7.6,8.3,4.3,176.0,0,Assam,-1
30.1,147.8,16.2,8.2,5.0,150.3,0,Assam,-1
52.5,166.3,9.1,7.7,4.7,168.8,0,Assam,-1
55.3,130.1,5.6,9.8,5.3,136.4,1,Bhuttan,+1
40.8,160.3,10.3,12.7,6.8,168.0,1,Bhuttan,+1
69.2,164.9,8.7,7.3,4.3,172.6,1,Bhuttan,+1
40.8,146.9,7.1,7.2,6.0,149.4,0,Assam,-1
50.0,142.3,18.1,9.6,6.7,144.8,0,Assam,-1
31.7,165.9,17.5,7.4,4.5,168.4,0,Assam,-1
53.4,108.3,13.3,10.5,4.4,111.5,1,Assam,-1
30.1,138.5,11.8,12.5,6.8,146.2,1,Bhuttan,+1
28.8,128.2,14.3,8.1,5.4,132.2,1,Bhuttan,+1
62.3,137.3,6.0,11.0,4.1,141.2,1,Bhuttan,+1
52.3,151.5,16.7,9.2,8.2,155.7,1,Bhuttan,+1
31.6,150.6,3.0,7.4,7.4,154.1,1,Bhuttan,+1
57.2,138.4,12.9,8.8,5.7,140.9,0,Assam,-1
20.4,128.1,6.7,11.2,5.9,135.1,0,Bhuttan,+1
55.6,123.2,11.5,8.2,6.1,127.7,0,Assam,-1
44.8,157.5,13.7,9.1,5.9,161.0,1,Bhuttan,+1
39.3,149.2,20.6,3.0,5.1,151.7,0,Assam,-1
35.3,132.6,4.0,10.7,6.0,138.4,0,Bhuttan,+1
61.6,134.6,11.1,9.1,2.8,137.1,0,Assam,-1
21.2,161.0,11.8,9.3,4.7,163.5,0,Assam,-1
56.1,164.4,8.5,6.2,6.2,166.9,0,Assam,-1
70.2,114.5,14.6,9.5,5.5,117.3,0,Assam,-1
50.2,131.2,10.7,7.6,3.5,133.7,1,Assam,-1
59.7,132.8,10.8,9.6,5.2,136.2,0,Assam,-1
40.8,141.4,12.0,8.0,4.5,144.3,0,Assam,-1
52.2,144.9,11.2,5.4,6.9,147.4,0,Assam,-1
50.7,160.4,11.7,10.3,4.1,162.9,0,Assam,-1
31.5,140.9,10.9,6.2,5.3,146.1,1,Bhuttan,+1
51.0,147.1,12.5,10.2,5.3,152.4,1,Bhuttan,+1
60.3,143.5,12.9,9.9,5.5,147.2,0,Assam,-1
64.4,134.0,13.7,8.2,4.4,136.5,0,Assam,-1
54.2,131.1,9.9,9.0,5.7,133.6,0,Assam,-1
50.8,155.1,10.8,9.9,5.6,157.6,0,Assam,-1
40.6,142.6,8.0,10.5,8.3,148.5,1,Bhuttan,+1
56.4,125.0,10.8,10.3,4.8,128.3,0,Assam,-1
29.0,166.6,1.8,9.5,4.4,169.1,0,Assam,-1
30.7,159.8,11.1,8.2,5.5,163.9,1,Bhuttan,+1
52.6,143.8,17.0,9.0,6.1,147.3,1,Bhuttan,+1
55.1,135.2,10.5,10.5,6.6,138.7,1,Bhuttan,+1
43.5,154.8,10.4,6.9,4.5,157.3,0,Assam,-1
46.1,157.2,14.2,11.3,4.9,159.7,0,Assam,-1
49.1,135.7,13.1,10.4,6.0,139.0,0,Assam,-1
45.3,141.9,12.8,10.5,6.1,147.6,1,Bhuttan,+1
48.9,133.7,5.9,11.2,5.9,137.9,0,Bhuttan,+1
38.4,148.1,13.0,10.0,5.0,150.6,0,Assam,-1
48.4,145.2,22.0,5.9,6.3,152.2,0,Bhuttan,+1
48.8,138.5,14.2,9.1,3.9,141.0,0,Assam,-1
50.0,164.4,6.7,6.1,5.7,167.9,1,Bhuttan,+1
60.6,140.1,14.8,10.4,4.9,142.6,0,Assam,-1
43.6,125.0,5.4,11.8,6.6,129.0,1,Bhuttan,+1
33.1,116.9,5.5,7.8,6.8,122.6,0,Bhuttan,+1
28.3,124.7,6.2,11.0,4.8,132.2,1,Bhuttan,+1
58.6,158.3,0.9,7.9,4.5,160.8,0,Assam,-1
52.8,137.0,15.1,6.8,4.7,139.5,0,Assam,-1
49.4,146.7,10.9,6.4,4.9,149.2,0,Assam,-1
49.7,141.0,5.8,11.5,4.9,144.5,1,Bhuttan,+1
64.6,153.1,15.8,7.3,4.1,155.6,0,Assam,-1
48.3,128.4,3.9,10.9,4.4,135.9,1,Bhuttan,+1
26.2,141.5,10.7,7.7,5.1,145.0,1,Bhuttan,+1
65.6,169.4,12.4,5.8,5.8,172.9,1,Bhuttan,+1
40.1,137.1,20.4,9.9,3.3,139.6,0,Assam,-1
38.1,138.1,22.1,7.4,5.8,140.6,0,Assam,-1
28.2,153.7,10.9,8.1,5.1,156.2,0,Assam,-1
44.1,130.3,11.4,8.2,6.7,132.8,0,Assam,-1
56.1,145.2,0.9,12.0,5.2,150.1,1,Bhuttan,+1
48.3,147.1,12.0,10.5,6.1,151.6,1,Bhuttan,+1
47.7,148.8,4.2,5.9,5.5,154.8,1,Bhuttan,+1
49.3,165.1,16.5,7.7,5.3,167.6,0,Assam,-1
37.8,135.2,6.9,8.5,5.7,143.3,1,Bhuttan,+1
69.0,149.8,12.8,5.5,4.1,152.3,0,Assam,-1
55.0,148.9,14.7,6.6,5.7,151.4,0,Assam,-1
35.7,139.1,11.4,7.4,7.1,143.3,1,Bhuttan,+1
43.8,145.4,9.8,9.6,4.9,147.9,0,Assam,-1
56.6,156.3,-2.0,9.4,6.1,159.8,1,Bhuttan,+1
64.3,152.7,19.0,8.2,5.9,157.4,1,Bhuttan,+1
42.7,133.6,11.4,8.9,5.2,136.1,0,Assam,-1
54.8,118.5,13.1,5.7,3.4,121.6,0,Assam,-1
51.9,146.9,17.3,8.7,5.0,150.0,0,Assam,-1
40.7,136.3,26.8,9.6,8.1,142.6,1,Bhuttan,+1
42.3,148.6,4.5,7.6,5.2,152.1,0,Assam,-1
65.5,164.1,16.0,8.2,5.1,166.6,0,Assam,-1
