
ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
26,     3,     4,     5,     8,     6,     4,     9,     4,     5,     7,     2,     4,     5,     7,     4,     3,     7,     2,     4,     2
27,     4,     2,     2,     9,     6,     6,     6,     5,     0,     8,     7,     7,     6,     4,     4,     3,     8,     6,     4,     5
28,     2,     3,     3,     8,     2,     7,     8,     8,     1,     8,     7,     3,     8,     3,     7,     6,     7,     1,     5,     7
29,     5,     3,     0,     8,     3,     3,     8,     7,     0,     7,     8,     4,     6,     5,     8,     4,     8,     5,     6,     6
30,     9,     9,     6,    10,     7,     5,     7,     8,     4,     2,     2,     5,     5,     2,     1,     7,     1,     4,     7,     3
31,     9,    10,    10,    10,     7,     9,     9,     7,     4,     2,     3,     7,     2,     2,     1,     9,     1,     6,     2,     1
32,     4,     0,     1,     5,     2,     5,    10,     6,     0,     9,    10,     5,     9,     1,     5,     6,     8,     5,     5,     6
33,     6,     1,     7,     8,     3,     6,     7,     5,     6,    10,     3,     6,     3,     9,     4,     8,     9,     5,     6,     3
34,     3,     2,     2,     7,     2,     6,     7,     6,     2,     8,     9,     4,     7,     6,     8,     5,     8,     7,     4,     5
35,     0,     2,     2,     8,     3,     8,     7,     5,     0,     7,     6,     4,     8,     1,     4,     4,     7,     3,     7,     7
36,     4,     5,     7,     8,     0,     9,     5,     4,    10,     2,     1,     5,     5,     3,     5,     6,     9,     3,     0,     3
37,     2,     5,     2,     8,     2,     6,     9,     4,     1,     9,     7,     5,     6,     3,     2,     4,    10,     5,     4,     6
38,     4,     1,     0,     9,     0,     7,     8,     3,     1,    10,     8,     6,     9,     3,     3,     6,     8,     7,     4,     7
39,     1,     2,     2,     9,     1,     8,    10,     5,     1,     9,     9,     5,     5,     4,     5,     5,     8,     5,     8,     7
40,    10,     6,    10,     7,     8,     4,     6,     5,     3,     3,     4,     5,     1,     2,     1,     7,     2,     5,     7,     0
41,     4,     2,     9,     8,     4,     4,     8,     4,     8,    10,     3,     6,     5,     6,     2,     4,     6,     5,     5,     0
42,     2,     3,     2,     8,     1,     4,     8,     3,     0,    10,     9,     3,     8,     3,     8,     4,     7,     3,     5,     8
43,     1,     0,     1,     6,     4,     4,    10,     3,     1,     8,     7,     6,     9,     2,     6,     5,     8,     4,     3,     7
44,    10,    10,     8,     8,    10,     4,     8,     5,     6,     2,     1,     3,     5,     2,     2,     5,     1,     7,     5,     2
45,     3,     2,     6,     5,     7,     6,     5,     1,     8,     9,     1,     3,     5,     6,     2,     7,     8,     5,     5,     3
46,     2,     1,     3,     8,     1,     8,     9,     5,     1,     9,     7,     4,     8,     1,     4,     3,     6,     5,     4,     4
47,     4,     5,    10,     7,     0,     7,     4,     4,     9,     3,     3,     5,     1,     7,     2,     5,     8,     4,     0,     1
48,     4,     5,     7,     7,     0,     8,     6,     5,     8,     4,     0,     2,     4,     1,     3,     4,     7,     6,     1,     5
49,     6,     3,     6,     6,     5,     6,     5,     6,     7,     5,     1,     6,     7,     3,     1,     4,     6,     4,     5,     1
50,     4,     2,     1,    10,     6,     4,     6,     1,     1,     9,    10,     5,     8,     0,     6,     6,     7,     3,     4,     4
51,     9,     7,    10,     4,     8,     7,     7,     5,     7,     2,     4,     6,     4,     2,     1,     8,     1,     4,     7,     3
52,     0,     1,     0,     9,     1,     4,     8,     5,     0,    10,     9,     1,     5,     1,     6,     5,    10,     9,     3,     5
53,     9,     6,     9,     8,     7,     6,     8,     9,     6,     2,     1,     7,     5,     2,     1,     6,     2,     2,     4,     0
54,     5,     3,     5,     6,     6,     4,     8,     5,     4,     8,     2,     5,     2,     5,     4,     6,     4,     3,     6,     0
55,    10,     7,     7,     8,     7,     8,     8,     4,     5,     3,     1,     6,     4,     1,     1,     6,     1,     4,     5,     3
56,     7,     1,     8,     8,     7,     6,     6,     5,     4,    10,     2,     4,     6,     4,     3,     4,     8,     7,     6,     0
57,     5,     5,     7,     6,     5,     8,     4,     3,     4,     9,     1,     2,     2,     3,     2,     7,     7,     1,     2,     5
58,     0,     1,     2,     9,     3,     7,     5,     5,     1,     9,    10,     5,     7,     3,     7,     3,     9,     2,     6,     8
59,     3,     2,     1,     7,     2,     8,    10,     6,     2,     9,     9,     6,     6,     1,     7,     4,    10,     3,     5,     5
60,     1,     2,     0,    10,     2,     6,     9,     3,     3,    10,     6,     5,     6,     2,     4,     6,     9,     5,     3,     1
61,     4,     7,     8,     7,     0,     9,     9,     4,     9,     1,     0,     6,     3,     2,     3,     8,     8,     7,     0,     1
62,     9,     8,     9,    10,     7,     5,     8,     5,     6,     2,     2,     6,     4,     3,     2,     6,     1,     6,     6,     3
63,     6,     4,     9,     7,     0,     9,     5,     4,     8,     3,     1,     5,     3,     3,     3,     5,     8,     3,     0,     3
64,     4,     3,    10,     7,     5,     7,     8,     5,     7,    10,     0,     5,     4,     2,     3,     7,     5,     4,     3,     2
65,    10,     7,     9,     9,     8,     7,     8,     8,     4,     1,     0,     7,     7,     1,     2,     4,     2,     4,     4,     4
66,     5,     6,     8,     7,     1,     6,     2,     6,     7,     3,     2,     4,     3,     1,     5,     7,     8,     5,     0,     1
67,     2,     2,     8,     8,     5,     7,     7,     3,     5,    10,     3,     4,     3,     6,     2,     2,     7,     3,     7,     0
68,     5,     5,     7,     8,     0,     6,     2,     4,     9,     1,     1,     5,     3,     2,     2,     4,    10,     6,     1,     3
69,     5,     7,     9,     5,     0,     8,     5,     6,     6,     3,     0,     4,     3,     4,     2,     6,     8,     8,     0,     3
70,     9,     8,     8,     6,     9,     6,     7,     3,     6,     3,     1,     6,     6,     5,     4,     6,     1,     4,     6,     2
71,     4,     8,    10,     5,     0,     6,     4,     4,     9,     2,     1,     8,     5,     3,     1,     5,     9,     4,     0,     3
72,     5,     5,     8,     5,     0,     6,     5,     7,     9,     3,     0,     6,     3,     2,     4,     5,     8,     5,     1,     2
73,     4,     3,     4,     6,     6,     6,     7,     7,     8,     7,     3,     6,     1,     5,     3,     7,     9,     3,     5,     2
74,    10,     8,     8,    10,     9,     7,     9,     5,     2,     2,     2,     5,     4,     2,     2,     5,     1,     6,     3,     3
75,     2,     2,     1,     8,     1,     8,     6,     6,     1,    10,     8,     7,     5,     3,     7,     5,     8,     2,     7,     5
76,     3,     2,     3,     5,     0,     6,     8,     3,     1,     7,     8,     6,     3,     4,     7,     5,     9,     2,     4,     4
77,     2,     4,     4,     6,     9,     5,     7,     3,     4,     9,     2,     5,     3,     2,     4,     5,     8,     3,     3,     0
78,     9,     9,     8,     9,     8,     5,     7,     5,     2,     1,     2,     6,     2,     2,     2,     5,     4,     4,     6,     4
79,    10,     7,     7,     7,     9,     7,     8,     5,     5,     1,     3,    10,     4,     1,     3,     6,     2,     4,     7,     2
80,     2,     2,     3,    10,     2,     7,     6,     7,     0,    10,     8,     3,     7,     1,     8,     6,     9,     5,     3,     6
81,     2,     0,     0,     7,     5,     4,     8,     6,     0,     7,     8,     6,     7,     7,     5,     5,    10,     7,     5,     6
82,     6,     3,     7,     5,     7,     4,     8,     5,     6,     8,     3,     7,     6,     5,     5,     5,     7,     5,     7,     1
83,    10,     5,    10,     8,     7,     4,    10,     4,     4,     3,     3,     5,     5,     0,     3,     7,     2,     5,     4,     3
84,    10,     8,     8,     7,     8,     7,    10,     4,     4,     3,     0,     8,     3,     4,     2,     8,     1,     5,     5,     3
85,     5,     2,     9,     5,     8,     7,     3,     5,     4,    10,     3,     5,     5,     4,     1,     5,     8,     9,     6,     3
86,     5,     5,     9,     5,     0,     6,     2,     5,     9,     0,     2,     6,     2,     3,     2,     4,     5,     8,     1,     4
87,     9,     9,     7,     7,     8,     7,     7,     6,     2,     1,     3,     5,     6,     0,     7,     6,     1,     5,     5,     3
88,     0,     4,     2,     8,     3,     5,     9,     5,     1,     9,    10,     6,     4,     1,     6,     5,     6,     2,     4,     7
89,    10,     7,    10,     4,     8,     7,     7,     4,     4,     4,     1,     8,     5,     3,     1,     4,     2,     8,     4,     0
90,    10,     7,    10,    10,     9,     4,     9,     7,     4,     1,     4,     5,     6,     2,     2,     5,     1,     5,     4,     2
91,     5,     2,     6,     4,     4,     4,     5,     5,     9,     8,     0,     3,     2,     4,     2,     7,     6,     6,     7,     4
92,    10,     6,     6,     5,     8,     9,     8,     6,     3,     0,     2,     3,     3,     1,     3,     4,     0,     3,     6,     3
93,     3,     8,    10,     6,     0,     8,     6,     6,     7,     2,     0,     4,     4,     2,     4,     1,     6,     3,     2,     1
94,     1,     3,     1,     8,     4,     6,     9,     3,     0,     9,     8,     4,     4,     2,     2,     7,     8,     4,     4,     9
95,     4,     6,     8,     8,     0,    10,     7,     5,     8,     2,     1,     4,     4,     4,     2,     7,     8,     7,     0,     5
96,    10,     9,     8,     7,     9,     4,     8,     4,     9,     1,     3,     4,     6,     2,     2,     5,     0,     4,     3,     1
97,     5,     8,    10,     7,     0,     7,     3,     4,    10,     1,     1,     5,     0,     3,     2,     2,     8,     5,     1,     2
98,     5,     5,     8,     8,     0,     4,     3,     4,    10,     2,     1,     6,     4,     7,     6,     5,     9,     5,     0,     3
99,     1,     0,     0,     9,     1,     7,     8,     7,     3,     8,     7,     6,     9,     1,     6,     9,     9,     6,     5,     4
100,     9,     7,     7,     9,     9,     5,     8,     4,     7,     2,     2,     6,     6,     2,     2,     5,     0,     5,     6,     2
101,     1,     1,     1,     8,     1,     4,     9,     3,     1,     7,     7,     4,     7,     3,     6,     5,     9,     4,     6,     5
102,    10,     8,     7,     9,     8,     5,     9,     5,     2,     2,     1,     2,     5,     1,     2,     5,     2,     4,     8,     6
103,     1,     3,     0,     9,     5,     5,    10,     8,     0,     8,    10,     3,     4,     4,     5,     6,     8,     5,     5,     7
104,     1,     2,     2,     8,     3,     6,     9,     3,     1,    10,     9,     6,     8,     2,     4,     3,     7,     5,     6,     8
105,     3,     2,     7,     7,     4,     7,     3,     3,     7,    10,     2,     5,     4,     5,     1,     5,     6,     4,     9,     2
106,     5,     7,     9,     7,     0,     7,     5,     5,    10,     2,     0,     8,     3,     0,     3,     3,     7,     4,     0,     3
107,     9,     9,     8,    10,     9,     5,     9,     7,     6,     2,     2,     4,     5,     3,     1,     5,     2,     8,     6,     2
108,     3,     8,     8,     8,     0,     8,     5,     3,     6,     3,     0,     5,     4,     4,     5,     8,     8,     4,     1,     2
109,     3,     5,     9,     4,     0,     8,     5,     2,     9,     1,     1,     6,     1,     6,     1,     5,     9,     4,     1,     6
110,     1,     2,     3,     9,     1,     6,     7,     7,     1,     9,     7,     4,     6,     3,     5,     7,     6,     4,     5,     5
111,     2,     1,     4,     7,     1,    10,     9,     5,     2,     9,     9,     8,     7,     1,     4,     3,     8,     3,     6,     8
112,    10,     9,     8,     7,    10,     7,     8,     6,     9,     2,     2,     7,     3,     4,     1,     2,     2,     5,     5,     1
113,     5,     7,     5,     8,     6,     6,     6,     7,     8,     9,     2,     4,     4,     4,     3,     5,    10,     6,     5,     3
114,     9,     9,     8,     8,     9,     8,     9,     5,     5,     2,     2,     4,     4,     3,     1,     5,     3,     6,     6,     3
115,     5,     6,     5,     7,     5,     7,     6,     8,     2,     9,     5,     5,     2,     7,     2,     7,     7,     3,     2,     2
116,     1,     4,     3,     8,     2,     6,     9,     8,     4,    10,     9,     7,     7,     3,     4,     5,     7,     7,     3,     5
117,    10,     7,     6,     8,     8,     6,     8,     3,     4,     0,     1,     3,     5,     3,     1,     5,     2,     5,     8,     2
118,     7,     7,     9,     6,     0,     9,     5,     4,     9,     3,     0,     5,     2,     2,     0,     4,     7,     6,     0,     3
119,     4,     7,    10,     4,     0,     7,     5,     6,     9,     0,     1,     7,     2,     1,     4,     4,     6,     4,     1,     4
120,     9,     8,     8,    10,    10,     5,     5,     6,     3,     5,     2,     4,     5,     3,     4,     3,     2,     6,     6,     4
121,     1,     1,     3,     9,     5,     9,     8,     5,     1,     9,     8,     7,     3,     2,     7,     3,     7,     7,     4,     3
122,     3,     1,     7,     5,     6,     6,     7,     6,     8,     6,     2,     4,     3,     5,     4,     8,     7,     5,     5,     0
123,    10,     9,     7,     7,     8,     6,     8,     4,     4,     1,     2,     6,     1,     3,     3,     5,     1,     3,     5,     0
124,     4,     7,    10,     7,     0,     9,     5,     3,     7,     1,     1,     3,     2,     3,     3,     5,     6,     7,     0,     2
125,     5,     5,     7,     8,     5,     5,     7,     3,     5,     8,     4,     6,     5,     7,     2,     4,     8,     5,     6,     3
126,     7,     5,     7,     9,     5,     7,     7,     4,     4,     8,     4,     5,     3,     8,     2,     4,    10,     5,     5,     3
127,     5,     8,     9,     8,     0,     8,     3,     6,     8,     1,     0,     7,     4,     1,     3,     7,     8,     4,     0,     3
128,     4,     2,     1,    10,     3,     7,     7,     3,     1,     7,     7,     5,     7,     3,     7,     6,    10,     5,     5,     5
129,     3,     2,     8,     9,     6,     6,     6,     6,     4,     6,     4,     6,     3,     6,     4,     2,     8,     5,     7,     3
130,     2,     1,     2,     8,     3,     5,     7,     4,     3,    10,     7,     4,     6,     5,     5,     6,     8,     4,     5,     7
131,     2,     1,     1,     6,     3,     6,    10,     2,     1,    10,     8,     7,     8,     2,     7,     5,     5,     5,     5,     6
132,     2,     3,     3,     9,     1,     3,     9,     5,     1,     9,     9,     5,     7,     1,     6,     6,     6,     6,     4,     7
133,     7,     4,     8,     7,     0,     8,     4,     8,     8,     1,     0,     6,     3,     1,     3,     3,     9,     4,     0,     2
134,     9,     8,     8,     6,     6,     7,     9,     5,     4,     1,     3,     5,     3,     4,     1,     6,     2,     4,     8,     1
135,     6,     3,     9,     6,     0,     9,     4,     8,     6,     1,     1,     6,     4,     3,     2,     7,     9,     5,     0,     1
136,     0,     0,     0,     9,     2,     7,     9,     4,     0,     9,     7,     6,     7,     3,     8,     5,     7,     4,     2,     8
137,    10,     7,     7,     9,     8,     8,     5,     8,     5,     3,     2,     8,     7,     3,     2,     2,     2,     7,     7,     1
138,     6,     2,     4,     9,     9,     6,     8,     4,     5,     9,     0,     4,     3,     8,     2,     6,     7,     6,     2,     3
139,     9,     7,     8,     9,    10,     8,    10,     5,     7,     4,     2,     4,     3,     4,     3,     7,     1,     6,     4,     1
140,     6,     3,     8,     5,     8,     7,     5,     8,     6,     9,     2,     5,     4,     3,     4,     7,     6,     3,     4,     1
141,     4,     0,     3,     7,     2,     7,     8,     8,     1,     9,     9,     4,     6,     3,     3,     5,    10,     5,     5,     6
142,    10,     8,     8,     9,     7,     8,     9,     4,     5,     3,     0,     7,     6,     2,     2,     4,     0,     6,     5,     1
143,     2,     4,     2,     9,     1,     4,    10,     5,     0,     9,    10,     6,     5,     3,     8,     5,     9,     3,     6,     7
144,     9,     9,    10,     8,     8,     7,     9,     7,     5,     2,     1,     3,     3,     3,     2,     5,     1,     2,     7,     2
145,     9,     7,     8,     9,     9,     5,     8,     6,     5,     2,     2,     4,     5,     2,     0,     6,     2,     3,     4,     0
146,    10,     8,     7,    10,     7,     6,     7,     4,     6,     3,     4,     7,     5,     4,     0,     2,     0,     2,     3,     3
147,     8,     8,     7,     9,     7,     5,     9,     8,     4,     1,     2,     6,     5,     2,     1,     8,     2,     6,     5,     2
148,    10,     6,     9,     9,     7,     6,     7,     6,     4,     2,     2,     5,     4,     4,     1,     6,     0,     4,     8,     1
149,     9,     9,     7,     8,     7,     8,     7,     7,     3,     1,     1,     6,     3,     4,     2,     4,     1,     5,     8,     2
150,     5,     6,     9,     6,     0,     7,     4,     3,     6,     0,     0,     4,     1,     2,     2,     4,     9,     5,     0,     3
151,     0,     2,     1,     8,     1,     6,    10,     5,     2,    10,     6,     6,     7,     2,     4,     7,     5,     5,     6,     4
152,     3,     2,     2,     7,     1,     9,     9,     7,     1,     7,     8,     5,     9,     2,     6,     5,     9,     4,     5,     5
153,     2,     3,     1,     9,     1,     6,     9,     5,     1,     9,    10,     6,     7,     2,     7,     5,     8,     5,     6,     5
154,     5,     3,     9,     8,     4,     9,     5,     8,     7,     8,     1,     6,     4,     3,     4,     6,     9,     5,     5,     0
155,     2,     2,     1,     7,     2,     5,     7,     5,     0,     8,     8,     4,     6,     1,     4,     5,     6,     7,     8,     4
156,     5,     4,     8,     8,     7,     7,     6,     7,     4,     7,     2,     9,     4,     3,     0,     2,     6,     5,     3,     2
157,     5,     5,     9,     4,     0,     8,     4,     5,     8,     3,     1,     3,     4,     1,     4,     6,     7,     6,     0,     1
158,     3,     3,     1,     9,     5,     7,     9,     5,     1,     9,     8,     4,     4,     0,     6,     6,     7,     4,     5,     7
159,     3,     3,     9,     9,     7,     6,     6,     3,     3,     8,     1,     5,     5,     5,     2,     5,     8,     3,     5,     4
160,     9,     8,     7,    10,     8,     4,     6,     7,     2,     0,     3,     5,     5,     3,     4,     5,     0,     5,     3,     6
161,     5,     5,     7,     6,     8,     6,     5,     6,     5,     7,     1,     5,     4,     5,     4,     6,     4,     4,     6,     1
162,     4,     5,     7,     8,     5,     7,     9,     5,     6,     8,     3,     8,     5,     5,     2,     2,     7,     7,     6,     2
163,     3,     4,     1,     8,     2,     5,     8,     3,     0,     8,     7,     6,     6,     3,     5,     5,     7,     2,     4,     8
164,    10,     9,     7,     8,     5,     6,     6,     3,     5,     1,     0,     7,     3,     1,     3,     5,     0,     3,     3,     1
165,     3,     3,     3,     8,     2,     7,     8,     7,     1,     8,     9,     4,     4,     2,     3,     4,     8,     5,     5,     6
166,     2,     4,     1,     9,     4,     7,     9,     5,     1,    10,     8,     7,     8,     1,     5,     5,     7,     6,     6,     3
167,     5,     4,     8,     6,     0,     9,     6,     6,     9,     0,     1,     6,     1,     3,     3,     6,     7,     4,     1,     3
168,     4,     4,     6,     4,     7,     5,     7,     6,     6,     8,     1,     8,     4,     5,     3,     4,     7,     6,     6,     3
169,     3,     3,     1,     7,     2,     6,     8,     3,     1,     9,     9,     4,     5,     2,     5,     2,     7,     5,     4,     4
170,     3,     3,     7,     9,     6,     6,     7,     4,     2,     9,     5,     4,     2,     4,     5,     6,     7,     8,     8,     1
171,     3,     2,     2,     9,     4,     7,     7,     7,     1,     7,     8,     8,     5,     3,     8,     5,     7,     5,     7,     6
172,     6,     5,     9,     9,     0,     7,     7,     5,     9,     2,     1,     7,     3,     2,     4,     6,     7,     8,     0,     2
173,     6,     6,     7,     9,     0,     6,     4,     6,     7,     4,     1,     4,     3,     3,     5,     4,     7,     3,     2,     4
174,     4,     5,     9,     7,     0,     5,     3,     6,     8,     3,     0,     4,     2,     3,     4,     4,    10,     6,     0,     4
175,     5,     7,     5,     8,     0,     7,     3,     4,     8,     3,     3,     6,     3,     1,     1,     6,     9,     6,     1,     3
176,     5,     2,     7,    10,     5,     5,     7,     6,     3,     5,     2,     6,     5,     6,     2,     5,     7,     3,     9,     1
177,     3,     5,     9,     7,     0,     4,     7,     6,     8,     2,     1,     4,     4,     3,     6,     3,     6,     6,     0,     1
178,     3,     5,     6,     4,     0,     8,     6,     6,     8,     0,     0,     8,     1,     5,     0,     6,     7,     4,     0,     4
179,     1,     2,     0,     8,     2,     4,     5,     3,     1,     9,     8,     7,     3,     2,     3,     4,    10,     7,     6,     9
180,     6,     2,     4,     6,     5,     8,     8,     6,     4,     9,     2,     5,     4,     5,     3,     6,     8,     5,     2,     2
181,     2,     0,     3,     8,     0,     6,     6,     6,     1,     9,     7,     4,     7,     2,     7,     8,     6,     3,     2,     6
182,     5,     2,     4,     9,     7,     4,     6,     6,     5,     9,     1,     6,     3,     5,     2,     6,     5,     4,     4,     2
183,    10,     8,     6,     9,     7,     5,     6,     7,     3,     1,     1,     5,     7,     5,     3,     6,     0,     2,     8,     0
184,     4,     5,     9,     5,     0,     9,     7,     4,     9,     0,     1,     4,     1,     3,     4,     5,     7,     5,     0,     1
185,     4,     6,    10,     8,     0,     8,     5,     8,     8,     1,     1,     4,     4,     2,     2,     3,     5,     4,     1,     5
186,     8,     8,     8,     7,    10,     7,     8,     4,     4,     2,     2,     4,     2,     2,     1,     3,     4,     2,     4,     0
187,     6,     4,     6,     8,     6,     5,     7,     6,     3,     9,     2,     5,     5,     8,     1,     5,     7,     5,     5,     2
188,    10,     8,     6,     7,     7,     9,     7,     4,     8,     1,     1,     4,     6,     0,     3,     5,     0,     6,     4,     3
189,     1,     0,     2,     7,     2,     7,     9,     6,     0,     9,     5,     6,     4,     2,     7,     6,     9,     2,     5,     6
190,     6,     6,     9,     9,     1,     7,     4,     4,     8,     0,     0,     7,     2,     1,     3,     4,     8,     3,     0,     2
191,    10,    10,     7,    10,     9,     6,     8,     4,     4,     1,     3,     4,     6,     4,     1,     4,     0,     3,     3,     2
192,     2,     3,     6,     6,     7,     8,     6,     6,     5,    10,     3,     8,     7,     8,     0,     4,     3,     5,     6,     4
193,     1,     2,     2,     8,     5,     5,     8,     1,     1,     9,     7,     7,     5,     2,     3,     7,     6,     4,     5,     8
194,     2,     2,     1,     8,     1,     8,     8,     5,     2,     8,     8,     9,     8,     6,     5,     8,     8,     6,     4,     4
195,     6,     4,     6,     8,     7,     6,     6,     5,     4,     7,     0,     6,     3,     5,     0,     3,     6,     3,     5,     2
196,     1,     1,     1,     9,     3,     7,     8,     3,     1,     9,     9,     6,     8,     1,     5,     5,     8,     5,     7,     6
197,     2,     2,     2,     8,     2,     5,     7,     8,     3,     9,     8,     5,     6,     3,     5,     4,     8,     5,     7,     4
198,     8,     4,     7,     5,     0,     7,     5,     5,     8,     3,     1,     6,     3,     3,     4,     4,     8,     5,     0,     3
199,     3,     1,     0,     8,     2,     6,     8,     6,     1,     8,     9,     6,     7,     1,     8,     7,     9,     3,     9,     7
200,     9,     8,     6,     9,     9,     7,    10,     6,     4,     0,     4,     1,     5,     4,     1,     5,     1,     5,     5,     1
201,     3,     5,     8,     5,     0,     6,     5,     5,    10,     1,     0,     5,     5,     4,     3,     6,     5,     7,     1,     2
202,     5,     6,     6,     7,     0,     8,     5,     3,    10,     2,     2,     7,     3,     1,     3,     3,     6,     3,     0,     3
203,     3,     2,     8,     7,     7,     8,     5,     5,     6,     6,     3,     4,     2,     7,     1,     6,     9,     5,     4,     1
204,    10,     5,     6,     6,     9,     7,     8,     5,     2,     3,     1,     2,     6,     2,     2,     5,     2,     5,     5,     0
205,     6,     7,     8,     6,     1,     8,     6,     4,     9,     3,     2,     4,     1,     2,     2,     3,     5,     6,     0,     3
206,     8,     5,     9,     5,     0,     8,     4,     5,     8,     2,     0,     6,     3,     3,     5,     6,     8,     7,     0,     3
207,     3,     7,     7,     6,     0,     9,     4,     6,     7,     1,     0,     2,     5,     4,     3,     2,     9,     3,     1,     1
208,     4,     4,     9,     7,     0,     6,     5,     8,     9,     4,     2,     5,     1,     2,     5,     6,     7,     5,     0,     3
209,     5,     6,     7,     7,     3,     4,     9,     6,     5,     9,     4,     5,     2,     6,     3,     6,     7,     7,     6,     0
210,    10,     6,     9,     9,     9,     4,     7,     4,     8,     1,     4,     6,     6,     3,     2,     6,     1,     6,     5,     0
211,     4,     5,     9,     8,     7,     6,     5,     3,     4,     8,     4,     5,     3,     6,     1,     3,     7,     4,     3,     1
212,    10,     8,    10,     8,     9,     5,     8,     4,     6,     2,     1,     5,     5,     3,     2,     6,     0,     5,     6,     3
213,     6,     4,     7,     2,     7,     7,     6,     3,     7,    10,     1,     6,     5,     3,     3,     6,     6,     4,     4,     2
214,    10,    10,     5,     7,     7,     7,     7,     5,     6,     1,     3,     8,     6,     5,     1,     5,     1,     7,     8,     0
215,     9,     8,     8,     8,    10,     6,     8,     7,     4,     2,     1,     3,     6,     1,     1,     8,     0,     3,     5,     1
216,     9,     7,     7,     8,     8,     5,     8,     6,     6,     2,     3,     6,     4,     3,     2,     5,     1,     5,     6,     3
217,     5,     1,     7,     6,     8,     5,     8,     6,     3,     7,     3,     7,     2,     4,     7,     6,     8,     3,     4,     4
218,     4,     3,     0,     8,     2,     5,     8,     6,     2,     8,     9,     3,     7,     2,     9,     6,     9,     3,     3,     6
219,     3,     7,     9,     3,     0,     7,     6,     5,     8,     3,     1,     6,     2,     0,     1,     5,     7,     4,     0,     1
220,     2,     4,     2,     8,     3,     3,     8,     2,     1,     9,     8,     3,     7,     3,     5,     6,     8,     5,     5,     6
221,     0,     2,     2,     7,     4,     8,     7,     7,     2,     8,     7,     3,     9,     3,     5,     3,     8,     4,     7,     3
222,    10,     5,     9,     8,     5,     6,     7,     3,     8,     2,     3,     6,     4,     4,     3,     5,     0,     4,     5,     1
